company_number,name,sic_codes,registered_office_address
NI050108,MCMILLEN CONSULTANTS LIMITED,70229,"At The Offices Of Falconer Stewart, 248-266 Upper Newtownards Road, Ballyhackamore, Belfast, BT4 3EU"
NI628743,CR FINANCIAL PLANNING LIMITED,70221,"4 Rhanbuoy Gardens, Seahill, Holywood, County Down, BT18 0DZ"
12549088,HH SPORTS CONSULTANCY LIMITED,70229,"Milburn House Hexham Business Park, Burn Lane, Hexham, Northumberland, NE46 3RU, England"
SC119502,MARKET SIGNALS LIMITED,73110,"7 Chapel Road, Strathaven, Lanarkshire, ML10 6NA"
12967045,ODIN FINANCE LIMITED,70229,"29 Barnard Road, London, SW11 1QT, England"
12973660,BEECHWAY FINANCIAL LTD,70221,"38 Coniston Drive, Middleton, Manchester, M24 5RH, England"
07795943,ACCOUNT MANAGEMENT EXPERT LIMITED,70229,"Old Bank House, Market Cross, Sturminster Newton, Dorset, DT10 1AN"
06708383,KUNDI CONSULTING LIMITED,70229,"28 Rydal Drive, Bexleyheath, DA7 5EE"
11768206,BILL AGENCY LTD,70221;96090,"189 Holdenhurst Road, Flat 2, Bournemouth, United Kingdom"
11772504,8BRIDGES CONSULTING LTD.,70229;78300,"15 Cavalli Apartments, Modena Mews, Watford, WD18 7BJ, United Kingdom"
11797482,CARNE CONSULTING LIMITED,73110,"45 Wolsey Road, Hampton Hill, Hampton, TW12 1QP, United Kingdom"
11626340,A TO Z TRADING LTD,70229,"117 Reidhaven Road, London, SE18 1BX, United Kingdom"
11924380,ALFIE MARKETING LTD,73110,"10 Clayton Road, Lane End, High Wycombe, HP14 3GA, United Kingdom"
10373307,JAIMAA CONSULTANT LTD,70229,"1 Bramley Close, Maidenhead, SL6 3HQ, United Kingdom"
10207222,CALIBRE CONSULTING GROUP LIMITED,70229,"Flat 103 Rossmore Court Park Road, London, NW1 6XZ, United Kingdom"
10080791,FP INSIEME LIMITED,70229,"19 Tanfield Lane, Rushmere, Northampton, Northamptonshire, NN1 5RN, United Kingdom"
10780140,B.J.E L&D LTD,70229;82990,"9 Hall Drive, Liverpool, L32 1TA, England"
10795651,JACKS DIGITAL LTD.,62012;62020;70229,"Mha House Charter Court, Phoenix Way, Swansea Enterprise Park, Swansea, SA7 9FS, United Kingdom"
SC629666,ARCRYSS CONSULTING LIMITED,70229;74990,"Jsa Services Ltd, 83 Princes Street, Edinburgh, EH2 2ER, United Kingdom"
12578630,QUBO CONSULTANTS LTD,70210;70229;94120,"289a Burntwood Lane, Wandsworth Common, London, SW17 0AP, United Kingdom"
11430485,TOWNLEY SERVICES LIMITED,70229,"28 Sparrowgrove, Otterbourne, Winchester, SO21 2DL, United Kingdom"
09999784,HODGKINSON CONSULTANCY SERVICES LTD,70221,"19 Lincoln Square, Widnes, WA8 6SR, England"
10266613,MESOLEAN GROUP LTD.,70229;78109;78300,"University Of Wolverhampton Science Park Glaisher Drive, Pa103, Wolverhampton, West Midlands, WV10 9RU, United Kingdom"
07183006,NIGHTINGALE CONSULTING LIMITED,70229;80100;80300,"St Mary's House Crewe Road, Alsager, Stoke-On-Trent, ST7 2EW, England"
08140876,THE WE TECHNOLOGY (UK) LTD,62012;62090;70229;74909,"Flat 49 Clarewood Court, Seymour Place, London, W1H 2NN, England"
10845563,MAUDSLEY LTD,70229,"44 Hazell Road, Farnham, GU9 7BP, England"
12423136,KPMUK LTD,70229,"482 Halifax Road, Bradford, BD6 2LH, England"
06267967,AVSIDYA SERVICES LTD,70229,"Moulsham Mill, Parkway, Chelmsford, CM2 7PX, England"
10728903,T FRANCIS (UK) LTD,70229;74909;86220,"Kemp House, 160 City Road, London, EC1V 2NX, United Kingdom"
13995668,DMRC CONSULTANCY SERVICES LIMITED,70229,"The Corner House, 2 High Street, Aylesford, ME20 7BG, England"
09423868,FLAME UK BUSINESS SERVICES GROUP LTD,70229,"White House, Wollaton Street, Nottingham, NG1 5GF, United Kingdom"
07740842,DECOUPLE LIMITED,70229,"Ashlea Merrybank Lane, Huby, Leeds, Yorkshire, LS17 0EW"
04448756,DAWLISH LIMITED,73110,"2 Mountview Court 310 Friern Barnet Lane, Whetstone, London, N20 0YZ"
02773512,RUPERT TAYLOR LIMITED,01420;01430;70229;71129,"The Courtyard Shoreham Road, Upper Beeding, Steyning, West Sussex, BN44 3TN"
12023080,GLOBAL PRIVATE EQUITY LIMITED,70221,"Bank Chambers, St. Petersgate, Stockport, Greater Manchester, SK1 1AR, England"
09220681,INNOVATION DEVELOPMENT (PROJECTS) LIMITED,70229,"45-49 Greek Street, Stockport, Cheshire, SK3 8AX"
12199092,AGENT ELITES LTD,46370;46410;46450;70229,"137 Pycroft Way, London, N9 9XX, England"
12251860,BOULEVARD MARKETING LTD,73110,"12a Marlborough Place, Brighton, BN1 1WN, England"
07707662,THE FULL HOUSE FOR FAMILIES LTD,62090;70229;73200,"Flat 49 Clarewood Court, Seymour Place, London, W1H 2NN, England"
11504523,DOCTORS IN BUSINESS LTD,73110;86900,"Ams Accountants Medical Limited Floor 2, 9 Portland Street, Manchester, M1 3BE, United Kingdom"
05180629,NUCLEUS COMPLETE BUSINESS ADVICE LIMITED,70229,"17 Hall Lane, Kirkburton, Huddersfield, HD8 0QW, England"
12563916,KABOKY LTD,46140;66220;70229;79110,"3 Chapel Street, Hyde, Cheshire, SK14 1LF"
11579423,TECHLAWYER CONSULTANCY LIMITED,70229,"22 Groveside Court Lombard Road, London, SW11 3RQ, England"
11582000,SPARKLE CONSULTANCY LTD,70229,"124 City Road, London, England, EC1V 2NX"
11337773,SHAPE YOUR FUTURE ONLINE LTD,70229,"219 219 Providence Road, Sheffield, S6 5BH, England"
11686882,JIMMY JAMES COMPANIES UK LTD,73110,"40 Castlebar Road, London, W5 2DD, England"
10180235,SAGACITI CONSULTING LTD,70229,"Unit 4b Winford Business Park, Winford, Bristol, BS40 8HJ, United Kingdom"
09750693,ULTIMATE CLIENTELE LIMITED,70229,"82 James Carter Road, Mildenhall, Bury St. Edmunds, IP28 7DE, England"
15664493,FUTURE TOOLING HOLDINGS LIMITED,64209;70229,"8 Yew Tree Close, Light Oaks, Stoke On Trent, Staffordshire, ST2 7PR, England"
10937728,SHERINGHAM CROFT MANAGEMENT LTD,70221,"46 Holway Road, Sheringham, NR26 8HR, United Kingdom"
04425004,AZTEC CONSULTANTS (GB) LIMITED,70229,"12 High Street, Stanford-Le-Hope, SS17 0EY, England"
09762552,SANDCREST CONSULTING LIMITED,70229,"The Dairy, Manor Courtyard, Aston Sandford, Bucks, HP17 8JB, England"
06590794,ICJR CONSULTANCY LIMITED,70229,"3 Selwood Way, New Milton, Hampshire, BH25 7SY"
08800582,RADHA KRISHNA AGS LTD,41202;43999;69202;70229,"Rex House, 354 Ballards Lane, London, N12 0DD, England"
14087296,NOTTINGHAM CONSULTING LIMITED,70221,"Newstead House, Pelham Road, Nottingham, NG5 1AP, United Kingdom"
SC413867,S BIRNIE TRAINING AND DEVELOPMENT LTD,70229,"Unit 4b Gateway Business Park, Beancross Road, Grangemouth, FK3 8WX, Scotland"
09418604,LIZBAN CONSULTING LTD.,70229,"18 Wavel Place, London, SE26 6SF, England"
SC587963,ANSPRO LTD,70229,"28 Bannermill Place, Aberdeen, AB24 5EA, United Kingdom"
SC585860,SGI SOLUTIONS LIMITED,70229,"48 Hayfield Road, Kirkcaldy, KY2 5DT, Scotland"
SC262456,CELEBRE LIMITED,70229,"Abercorn School, Newton, Broxburn, West Lothian, EH52 6PZ"
13836714,HC DEBT MANAGEMENT LTD,70229,"Mark Masiak, 11 Ouse Lane, Towcester, NN12 6YJ, England"
