company_number,name,incorporation_date,status,sic_codes,age_years,num_accounts_last_10y,num_late_accounts,last_accounts_date,overdue_accounts_flag,num_charges_total,num_charges_outstanding,num_charges_satisfied,has_floating_charge_flag,last_charge_date,signal_potential_distress,signal_boring_profitable_like,distress_score_v1,boring_profitable_score_v1
02773512,RUPERT TAYLOR LIMITED,1992-12-14,active,01420;01430;70229;71129,32.95,10,0,2025-05-15,False,2,0,2,False,2013-03-27,False,True,0,3
02954712,CRYSTAL DESIGN SERVICES LIMITED,1994-08-02,active,62020;63990;70229;85590,31.32,10,0,2025-03-19,False,0,0,0,False,,False,True,0,3
04425004,AZTEC CONSULTANTS (GB) LIMITED,2002-04-25,active,70229,23.59,10,0,2025-06-05,False,0,0,0,False,,False,True,0,3
05180629,NUCLEUS COMPLETE BUSINESS ADVICE LIMITED,2004-07-15,active,70229,21.37,10,0,2025-07-31,False,0,0,0,False,,False,True,0,3
06590794,ICJR CONSULTANCY LIMITED,2008-05-13,active,70229,17.54,10,0,2025-05-27,False,0,0,0,False,,False,True,0,3
07707662,THE FULL HOUSE FOR FAMILIES LTD,2011-07-18,active,62090;70229;73200,14.36,10,0,2025-04-09,False,0,0,0,False,,False,True,0,3
07725608,LANDWISE RURAL RESOURCE MANAGEMENT LIMITED,2011-08-02,active,70229,14.32,10,0,2025-04-03,False,0,0,0,False,,False,True,0,3
07740842,DECOUPLE LIMITED,2011-08-15,active,70229,14.28,10,0,2025-08-28,False,0,0,0,False,,False,True,0,3
08140876,THE WE TECHNOLOGY (UK) LTD,2012-07-12,active,62012;62090;70229;74909,13.37,10,0,2025-04-09,False,0,0,0,False,,False,True,0,3
08800582,RADHA KRISHNA AGS LTD,2013-12-03,active,41202;43999;69202;70229,11.98,10,0,2025-08-07,False,0,0,0,False,,False,True,0,3
09220681,INNOVATION DEVELOPMENT (PROJECTS) LIMITED,2014-09-16,active,70229,11.2,10,0,2025-06-02,False,0,0,0,False,,False,True,0,3
09423868,FLAME UK BUSINESS SERVICES GROUP LTD,2015-02-05,active,70229,10.81,14,0,2025-06-02,False,1,0,1,False,2018-06-04,False,True,0,3
09750693,ULTIMATE CLIENTELE LIMITED,2015-08-26,active,70229,10.25,9,0,2025-01-13,False,0,0,0,False,,False,True,0,3
09762552,SANDCREST CONSULTING LIMITED,2015-09-04,active,70229,10.23,9,0,2025-04-01,False,0,0,0,False,,False,True,0,3
10180235,SAGACITI CONSULTING LTD,2016-05-13,active,70229,9.54,8,0,2024-11-04,False,0,0,0,False,,False,True,0,2
10937728,SHERINGHAM CROFT MANAGEMENT LTD,2017-08-30,active,70221,8.24,8,0,2025-09-26,False,0,0,0,False,,False,True,0,2
